doc_id,doc2people_id,person_display_name,role,person_id
Carte_Turche_392,PersonDocumentRelation0125,Bihaç Kadısı,Addressee,Person_533
Carte_Turche_394,PersonDocumentRelation0126,Bayram Paşa,Undefined,Person_529
Carte_Turche_399,PersonDocumentRelation0127,Bayram Paşa,Mentioned,Person_529
Carte_Turche_40,PersonDocumentRelation0128,Haleb Kadısı,Addressee,Person_554
Carte_Turche_400,PersonDocumentRelation0129,Bayram Paşa,Undefined,Person_529
Carte_Turche_401,PersonDocumentRelation0130,Bayram Paşa,Mentioned,Person_529
Carte_Turche_406,PersonDocumentRelation0131,Ahmed,Mentioned,Person_456
Carte_Turche_410,PersonDocumentRelation0132,Kadısı,Addressee,Person_400
Carte_Turche_42,PersonDocumentRelation0133,Ali bin Mehmed,Mentioned,Person_493
Carte_Turche_42,PersonDocumentRelation0134,Bali bin Ali,Mentioned,Person_519
Carte_Turche_422,PersonDocumentRelation0135,Delvine kadısı,Addressee,Person_550
Carte_Turche_427,PersonDocumentRelation0136,Kadısına,Addressee,Person_401
Carte_Turche_43,PersonDocumentRelation0137,Ali bin Mehmed,Mentioned,Person_493
Carte_Turche_43,PersonDocumentRelation0138,Bali bin Ali,Undefined,Person_519
Carte_Turche_43,PersonDocumentRelation0139,Bar Kadısı,Addressee,Person_522
Carte_Turche_435,PersonDocumentRelation0140,Delvine Kadısı,Addressee,Person_550
Carte_Turche_436,PersonDocumentRelation0141,Alay Beyi,Mentioned,Person_473
Carte_Turche_436,PersonDocumentRelation0142,Simon Kontarin,Mentioned,Person_489
Carte_Turche_441,PersonDocumentRelation0143,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_441,PersonDocumentRelation0144,Haleb Kadısı,Addressee,Person_554
Carte_Turche_448,PersonDocumentRelation0145,Receb Paşa,Sender,Person_488
Carte_Turche_455,PersonDocumentRelation0146,Alay Beyi,Undefined,Person_473
Carte_Turche_457,PersonDocumentRelation0147,Yusuf Dayı,Addressee,Person_484
Carte_Turche_458,PersonDocumentRelation0148,Receb Paşa,Undefined,Person_488
Carte_Turche_458,PersonDocumentRelation0149,Yusuf Dayı,Mentioned,Person_484
Carte_Turche_459,PersonDocumentRelation0150,Ahmed Ağa,Mentioned,Person_457
Carte_Turche_459,PersonDocumentRelation0151,Yusuf Dayı,Addressee,Person_484
Carte_Turche_459,PersonDocumentRelation0152,Yusuf Dayı,Undefined,Person_484
Carte_Turche_460,PersonDocumentRelation0153,Receb Paşa,Undefined,Person_488
Carte_Turche_460,PersonDocumentRelation0154,Yusuf Dayı,Mentioned,Person_484
Carte_Turche_462,PersonDocumentRelation0155,Receb Paşa,Mentioned,Person_488
Carte_Turche_47,PersonDocumentRelation0156,Haleb Kadısı,Addressee,Person_554
Carte_Turche_474,PersonDocumentRelation0157,Receb Paşa,Addressee,Person_488
Carte_Turche_476,PersonDocumentRelation0158,Receb Paşa,Undefined,Person_488
Carte_Turche_480,PersonDocumentRelation0159,Ceralimo Kostomarin,Undefined,Person_545
Carte_Turche_480,PersonDocumentRelation0160,Receb Paşa,Mentioned,Person_488
Carte_Turche_481,PersonDocumentRelation0161,Ceralimo Kostomarin,Mentioned,Person_545
Carte_Turche_482,PersonDocumentRelation0162,Ceralimo Kostomarin,Mentioned,Person_545
Carte_Turche_491,PersonDocumentRelation0163,Corcu Custinyan Kavalir,Undefined,Person_548
Carte_Turche_492,PersonDocumentRelation0164,Corcu Custinyan Kavalir,Mentioned,Person_548
Carte_Turche_492,PersonDocumentRelation0165,Receb Paşa,Mentioned,Person_488
Carte_Turche_495,PersonDocumentRelation0166,Ahmed Beşe,Mentioned,Person_458
Carte_Turche_495,PersonDocumentRelation0167,Corcu Custinyan Kavalir,Mentioned,Person_548
Carte_Turche_500,PersonDocumentRelation0168,Cafer Ağa,Mentioned,Person_541
Carte_Turche_500,PersonDocumentRelation0169,Draç Kadısı,Addressee,Person_552
Carte_Turche_500,PersonDocumentRelation0170,Draç Kadısı,Addressee,Person_552
Carte_Turche_501,PersonDocumentRelation0171,Cafer Ağa,Mentioned,Person_541
Carte_Turche_503,PersonDocumentRelation0172,Receb Paşa,Sender,Person_488
Carte_Turche_504,PersonDocumentRelation0173,Receb Paşa,Sender,Person_488
Carte_Turche_505,PersonDocumentRelation0174,Receb Paşa,Sender,Person_488
Carte_Turche_506,PersonDocumentRelation0175,Receb Paşa,Mentioned,Person_488
Carte_Turche_507,PersonDocumentRelation0176,Anderya veled-i Batista,Mentioned,Person_507
Carte_Turche_509,PersonDocumentRelation0177,Bıçakçı oğlu Mehmed,Mentioned,Person_534
Carte_Turche_509,PersonDocumentRelation0178,Receb Paşa,Sender,Person_488
Carte_Turche_510,PersonDocumentRelation0179,Bıçakçı oğlu Mehmed,Mentioned,Person_534
Carte_Turche_517,PersonDocumentRelation0180,Receb Paşa,Undefined,Person_488
Carte_Turche_518,PersonDocumentRelation0181,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_518,PersonDocumentRelation0182,Haleb Kadısı,Addressee,Person_554
Carte_Turche_530,PersonDocumentRelation0183,Receb Paşa,Sender,Person_488
Carte_Turche_531,PersonDocumentRelation0184,Receb Paşa,Mentioned,Person_488
Carte_Turche_532,PersonDocumentRelation0185,Bosna Defterdarı,Addressee,Person_538
Carte_Turche_532,PersonDocumentRelation0186,Receb Paşa,Mentioned,Person_488
Carte_Turche_533,PersonDocumentRelation0187,Draç Kadısı,Addressee,Person_552
Carte_Turche_533,PersonDocumentRelation0188,Draç Kadısı,Addressee,Person_552
Carte_Turche_536,PersonDocumentRelation0189,Bıçakçızade Mehmed Ağa,Sender,Person_535
Carte_Turche_537,PersonDocumentRelation0190,Bıçakçızade Mehmed Ağa,Mentioned,Person_535
Carte_Turche_538,PersonDocumentRelation0191,Alaca İsnoyafi,Mentioned,Person_471
Carte_Turche_538,PersonDocumentRelation0192,Delvine Kadısı,Addressee,Person_550
Carte_Turche_540,PersonDocumentRelation0193,Alaca İsnoyafi,Undefined,Person_471
Carte_Turche_540,PersonDocumentRelation0194,Sakız Sancakbeyi,Addressee,Person_491
Carte_Turche_548,PersonDocumentRelation0195,Receb Paşa,Mentioned,Person_488
Carte_Turche_554,PersonDocumentRelation0196,Delvine Kadısı,Addressee,Person_550
Carte_Turche_555,PersonDocumentRelation0197,Avlonya Sancakbeyi,Addressee,Person_517
